epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.6571,1.58907,0.62745,1,1.40657,0.00027775,0.00027775,0.00027775
2,23.0493,1.3025,0.76471,1,0.89781,0.000555391,0.000555391,0.000555391
3,33.2015,0.90302,0.98039,1,0.36948,0.000821593,0.000821593,0.000821593
4,43.3684,0.48898,1,1,0.17853,0.00104501,0.00104501,0.00104501
5,52.3863,0.28398,1,1,0.03189,0.00102301,0.00102301,0.00102301
6,61.3123,0.16167,1,1,0.01148,0.00100101,0.00100101,0.00100101
7,70.2863,0.09194,1,1,0.00513,0.000979013,0.000979013,0.000979013
8,79.5272,0.07501,1,1,0.00427,0.000957015,0.000957015,0.000957015
9,88.4134,0.08789,1,1,0.00331,0.000935018,0.000935018,0.000935018
10,97.8272,0.08953,1,1,0.00154,0.00091302,0.00091302,0.00091302
11,106.998,0.05925,1,1,0.00088,0.000891022,0.000891022,0.000891022
12,115.986,0.05289,1,1,0.00209,0.000869024,0.000869024,0.000869024
13,124.953,0.06261,1,1,0.00074,0.000847026,0.000847026,0.000847026
14,133.944,0.07785,1,1,0.00084,0.000825029,0.000825029,0.000825029
15,142.929,0.05841,1,1,0.00026,0.000803031,0.000803031,0.000803031
16,151.851,0.1373,1,1,0.00054,0.000781033,0.000781033,0.000781033
17,160.79,0.06257,1,1,0.00025,0.000759035,0.000759035,0.000759035
18,169.832,0.0827,1,1,0.00019,0.000737037,0.000737037,0.000737037
19,178.849,0.08332,1,1,0.00036,0.00071504,0.00071504,0.00071504
